,pId,category
1324,2998,32B
1325,2999,51B
1326,3000,52G
1327,3001,20P
1328,3004,4B
1329,3005,51S
1330,3006,21P
1331,3008,46P
1332,3009,2B
1333,3010,11S
1334,3011,11G
1335,3013,16G
1336,3015,13G
1337,3017,33P
1338,3018,17S
1339,3019,11S
1340,3020,20G
1341,3022,61S
1342,3023,51B
1343,3024,11S
1344,3025,2P
1345,3028,2B
1346,3029,32B
1347,3030,51G
1348,3031,31G
1349,3032,12P
1350,3034,4B
1351,3035,51B
1352,3036,65S
1353,3037,19G
1354,3038,56P
1355,3040,11B
1356,3041,2B
1357,3042,11S
1358,3043,15P
1359,3044,9P
1360,3047,2B
1361,3048,2S
1362,3049,52B
1363,3050,16G
1364,3052,4B
1365,3053,4B
1366,3054,2B
1367,3055,1G
1368,3056,43P
1369,3058,41B
1370,3059,51B
1371,3060,41S
1372,3061,33S
1373,3062,41B
1374,3063,4S
1375,3064,33G
1376,3066,20G
1377,3067,19G
1378,3071,55S
1379,3075,10G
1380,3076,51B
1381,3077,17S
1382,3078,63G
1383,3079,20G
1384,3085,11S
1385,3086,19G
1386,3088,33S
1387,3089,40G
1388,3095,11G
1389,3097,11S
1390,3098,14S
1391,3099,19G
1392,3100,11S
1393,3101,55G
1394,3102,19P
1395,3107,51G
1396,3108,28G
1397,3109,9G
1398,3110,4G
1399,3111,18P
1400,3113,22P
1401,3114,19G
1402,3116,4G
1403,3117,17P
1404,3124,52G
1405,3128,19P
1406,3129,3S
1407,3131,11P
1408,3135,30S
1409,3136,17P
1410,3139,4S
1411,3142,22G
1412,3151,46G
1413,3154,11B
1414,3161,2S
1415,3163,6P
1416,3164,4G
1417,3165,30G
1418,3166,10P
1419,3167,33G
1420,3168,2S
1421,3176,37P
1422,3181,51B
1423,3182,10S
1424,3183,2B
1425,3184,24S
1426,3185,2S
1427,3186,2S
1428,3187,24S
1429,3189,41B
1430,3190,57G
1431,3192,11G
1432,3194,54G
1433,3197,28P
1434,3199,4S
1435,3208,41B
1436,3211,15S
1437,3213,55S
1438,3216,33S
1439,3217,57G
1440,3221,6G
1441,3226,41B
1442,3227,2B
1443,3230,2B
1444,3231,2S
1445,3232,55B
1446,3240,2G
1447,3251,51S
1448,3254,2S
1449,3257,19G
1450,3258,2S
1451,3259,67S
1452,3260,44G
1453,3262,2S
1454,3264,9S
1455,3265,33P
1456,3267,34P
1457,3270,19G
1458,3273,46S
1459,3276,41B
1460,3277,61S
1461,3279,33S
1462,3280,2B
1463,3281,51B
1464,3282,2B
1465,3283,51S
1466,3284,18G
1467,3285,51S
1468,3300,3G
1469,3307,13G
1470,3312,3S
1471,3324,62P
1472,3338,10P
1473,3340,15S
1474,3343,31G
1475,3345,19P
1476,3353,19G
1477,3356,3P
1478,3358,12G
1479,3360,4S
1480,3363,11G
1481,3366,13G
1482,3368,33P
1483,3369,10S
1484,3372,19S
1485,3373,15P
1486,3381,20G
1487,3387,31S
1488,3397,65S
1489,3400,19S
1490,3405,44P
1491,3407,68S
1492,3412,55B
1493,3414,1G
1494,3417,51B
1495,3423,2S
1496,3425,18G
1497,3429,21P
1498,3430,5G
1499,3432,2B
1500,3443,51S
1501,3447,3B
1502,3448,51B
1503,3449,3B
1504,3451,2S
1505,3460,55B
1506,3462,52G
1507,3464,60P
1508,3469,41S
1509,3473,18G
1510,3474,39S
1511,3482,49G
1512,3483,19G
1513,3486,41B
1514,3487,20P
1515,3495,2G
1516,3499,8G
1517,3507,31B
1518,3510,62S
1519,3518,51S
1520,3522,19G
1521,3523,55G
1522,3526,1P
1523,3533,55B
1524,3541,4S
1525,3542,61S
1526,3544,5G
1527,3546,4B
1528,3551,14S
1529,3552,12G
1530,3553,39S
1531,3557,26S
1532,3559,39G
1533,3566,4B
1534,3568,3S
1535,3584,49G
1536,3586,18P
1537,3590,51G
1538,3594,39G
1539,3595,31B
1540,3598,58P
1541,3602,31B
1542,3610,4S
1543,3613,51S
1544,3614,65G
1545,3621,4S
1546,3622,12B
1547,3632,20G
1548,3635,49G
1549,3636,33G
1550,3637,21P
1551,3639,20G
1552,3644,19G
1553,3648,14P
1554,3649,46G
1555,3651,4G
1556,3652,37G
1557,3653,21P
1558,3657,14G
1559,3658,53G
1560,3661,15G
1561,3663,33G
1562,3665,14G
1563,3671,22G
1564,3673,4G
1565,3678,2G
1566,3679,46P
1567,3681,7G
1568,3684,11S
1569,3687,19G
1570,3691,17G
1571,3699,41S
1572,3709,36G
1573,3711,11S
1574,3724,11S
1575,3745,20G
1576,3747,14P
1577,3754,12P
1578,3755,5G
1579,3758,15S
1580,3760,19G
1581,3770,21P
1582,3777,48G
1583,3778,51B
1584,3779,3P
1585,3780,0G
1586,3783,4P
1587,3787,55S
1588,3790,4S
1589,3793,19G
1590,3806,33G
1591,3825,50G
1592,3826,3S
1593,3827,23P
1594,3828,19P
1595,3841,16P
1596,3844,22G
1597,3845,15B
1598,3854,12P
1599,3855,20G
1600,3856,51S
1601,3860,14P
1602,3863,2B
1603,3865,29G
1604,3866,19G
1605,3875,33G
1606,3876,29G
1607,3881,4P
1608,3885,2S
1609,3886,38S
1610,3895,48P
1611,3896,22S
1612,3897,48G
1613,3900,28P
